City,Country,Region,Carrier company,Customer-Supplier company,Companies Traders,Cargo type,Paper specific,Delivery type
Salvador,Brazil,Europe,,AllAmerica,VIPA USA,,,
San Antonio,Chile,Latam,,Great NF,VIPA USA,,,
San Vicente,Chile,Latam,,Albertin,Edward Berjoza,,,
Santa Giustina Bellunese,Italy,Latam,,Nixin,VIPA GREECE,,,
Santiago,Chile,Europe,,Alas Doradas,Nikolay Kudryashov,,,
Santiago,Chile,Latam,,IP Bavina,Global Trading,,,
Santo Tomas de Castilla,Guatemala,Latam,,Metsa Tissue Sweden,Karolis Pupinis,,,
Santos,Brazil,Latam,,THANH DUNG,VIPA GREECE,,,
Szczecin,Poland,Latam,,Georgetown,VIPA USA,,,
Setubal,Portugal,Europe,,Zhytomyr,Ivan Dotsenko,,,
Shakhty,Russia,Europe,,GLOBAL UAB,Karolis Pupinis,,,
Shanghai,China,Russia,,Atol,Łukasz Lutoborski,,,
Shekou,China,Asia,,Hamburger PL,Łukasz Lutoborski,,,
Siauilai,Lithuania,Asia,,Skup PL,Karolis Pupinis,,,
Siauilai,Lithuania,Europe,,Service Corea,VIPA GREECE,,,
Siemianowice Śląskie,Poland,Europe,,Albertin,Edward Berjoza,,,
Siemianowice Śląskie,Poland,Europe,,FCC CZ,Karolis Pupinis,,,
Siemianowice Śląskie,Poland,Europe,,UVI Moscow,Global Trading,,,
Singapore,Singapore,Europe,,Colombiana Tissue,Nikolay Kudryashov,,,
Slavyansk-na-Kubani,Russia,Asia,,Weidmann,VIPA SWITZERLAND,,,
Soedertaelje,Sweden,Russia,,Orkos EST,Edward Berjoza,,,
Sofia,Bulgaria,Europe,,Han-Pol,Łukasz Lutoborski,,,
Spremberg,Germany,Europe,,Tribune Recycling,Nikolay Kudryashov,,,
St. Albans,UK,Europe,,Danfiber DK,Nikolay Kudryashov,,,
St Petersburg,Russia,Europe,,Comrec,VIPA SWITZERLAND,,,
St Petersburg,Russia,Russia,,Safeshred,VIPA USA,,,
St Petersburg,Russia,Russia,,Paper Stoc,VIPA USA,,,
St. Albans,UK,Russia,,COMOLSA,Nikolay Kudryashov,,,
St Petersburg,Russia,Europe,,Velaris,Juan Quintero,,,
St. Albans,UK,Russia,,Econis,VIPA SWITZERLAND,,,
Stare Kurowo,Poland,Europe,,Spartak,Edward Berjoza,,,
Stare Kurowo,Poland,Europe,,Papeles Regionales,Nikolay Kudryashov,,,
Stare Kurowo,Poland,Europe,,Corrugadora,Juan Quintero,,,
Stavanger,Norway,Europe,,Maruti,VIPA INDIA,,,
Stavanger,Norway,Europe,,Piemonte,VIPA ITALY,,,
Stavropol,Russia,Europe,,Saica,VIPA SWITZERLAND,,,
Stockholm,Sweden,Russia,,Villar Guillen,VIPA ROTTERDAM,,,
Subic,Philippines,Europe,,Star Kraft,VIPA INDIA,,,
Surabaya,Indonesia,Asia,,Vtorma UA,Ivan Dotsenko,,,
Svetogorsk,Russia,Asia,,FIBRAS DE NICARAGUA,Juan Quintero,,,
Swarzedz,Poland,Russia,,Paswara,VIPA INDIA,,,
Swarzedz,Poland,Europe,,Galateya,Nikolay Kudryashov,,,
Świecie,Poland,Europe,,UkrMetStil,Ivan Dotsenko,,,
Świecie,Poland,Europe,,Gangotri,VIPA INDIA,,,
Świecie,Poland,Europe,,Maruti,VIPA INDIA,,,
Świecie,Poland,Europe,,Sol Hurt,Łukasz Lutoborski,,,
Szczecin,Poland,Europe,,MacAlians,Global Trading,,,
Szczecin,Poland,Europe,,TOTAL-SORT,Łukasz Lutoborski,,,
Taichung,Taiwan,Europe,,Makpol,Karolis Pupinis,,,
Taipei,Taiwan,Asia,,Zberne,Karolis Pupinis,,,
Taiwan,Taiwan,Asia,,Eurokey PL,Łukasz Lutoborski,,,
Tallinn,Estonia,Asia,,Waste Eco Service,Ivan Dotsenko,,,
Tallinn,Estonia,Europe,,ELDA,VIPA ROTTERDAM,,,
Tallinn,Estonia,Europe,,CBP,VIPA ROTTERDAM,,,
Tallinn,Estonia,Europe,,Procarsa,Nikolay Kudryashov,,,
Taoyuan,Taiwan,Europe,,Zhelezniy Mir,Global Trading,,,
Taoyuan,Taiwan,Asia,,P.M.R. KFT,Karolis Pupinis,,,
Tartu,Estonia,Asia,,IP Uspenskaya,Global Trading,,,
Teesport,UK,Europe,,Latin-Pack,Global Trading,,,
Tekirdag,Turkey,Europe,,Hamburger SK,Karolis Pupinis,,,
Tekirdag,Turkey,Europe,,EPV,Global Trading,,,
Thamesport,UK,Europe,,Volga,Global Trading,,,
Thessaloniki,Greece,Europe,,Vtormet-garant,Global Trading,,,
Tianjin,China,Europe,,Metalcarta,VIPA ROTTERDAM,,,
Togliatti,Russia,Asia,,Funding,VIPA USA,,,
Tokyo,Japan,Russia,,National P,VIPA UK,,,
Tonsburg,Norway,Asia,,NER Recycling,VIPA ROTTERDAM,,,
Transiidikeskuse,Estonia,Europe,,Martinez Cano Canarias,VIPA ITALY,,,
Trieste,Italy,Europe,,Accoil,VIPA UK,,,
Tronsberg,Norway,Europe,,Bell Multi Kraft,VIPA INDIA,,,
Trondheim,Norway,Europe,,BIOKOM,Karolis Pupinis,,,
Trondheim,Norway,Europe,,Karjalan Paperi,Karolis Pupinis,,,
Tronsberg,Norway,Europe,,IP Baev,Global Trading,,,
Tuapse,Russia,Europe,,Alyans,Global Trading,,,
Turku,Finland,Russia,,Madex (AVANCE),Juan Quintero,,,
Tuticorin,India,Europe,,BIFFA,VIPA UK,,,
Valmiera,Latvia,Asia,,VIRIDOR RE,VIPA UK,,,
Valparaiso,Chile,Europe,,LEIPA,VIPA INDIA,,,
Vantaa,Finland,Latam,,Global Business DR,Juan Quintero,,,
Varkaus,Finland,Europe,,IP Skvorcov,Global Trading,,,
Varna,Finland,Europe,,WWG,VIPA INDIA,,,
Warsaw,Poland,Europe,,FPC,Gonzalo Garcia,,,
Veliko Tarnovo,Bulgaria,Europe,,Essex,VIPA UK,,,
Venice,Italy,Europe,,Reciclaje Global,Gonzalo Garcia,,,
Venice,Italy,Europe,,Rubezhnoye,Ivan Dotsenko,,,
Veracruz,Mexico,Europe,,Cartones Ponderosa,Gonzalo Garcia,,,
Verona,Italy,Latam,,Recuperadora de Carton S.A. de C.V.,Juan Quintero,,,
Viljandi,Estonia,Europe,,SLOVPAPER RECYCLING,Łukasz Lutoborski,,,
Jaroslaw,Poland,Europe,,Hamburger DE,VIPA SWITZERLAND,,,
Vilnius,Lithuania,Europe,,VALORIZACIONES VILAR GUILLEN,VIPA ROTTERDAM,,,
Vilnius,Lithuania,Europe,,Amreco,Nikolay Kudryashov,,,
Vilnius,Lithuania,Europe,,Reciroca,Juan Quintero,,,
Vitoria,Brazil,Europe,,Molpack Panama,Gonzalo Garcia,,,
Vilnius,Lithuania,Latam,,DACD Metal,Juan Quintero,,,
Wognum,Netherlands,Europe,,JV IS Recycling,VIPA GREECE,,,
Volgograd,Russia,Europe,,Benassi,VIPA ITALY,,,
Volzhsk,Russia,Russia,,Delnegro,VIPA ITALY,,,
Warsaw,Poland,Russia,,GP Harmon,VIPA USA,,,
Wognum,Netherlands,Europe,,Solarz,VIPA ROTTERDAM,,,
Aalborg,Denmark,Europe,,Melosch,VIPA SWITZERLAND,,,
Wroclaw,Poland,Europe,,Smurfit DR,Juan Quintero,,,
Wroclaw,Netherlands,Europe,,Reciclaje Del Norte,Gonzalo Garcia,,,
Xiamen,China,Europe,,Hartmann,Karolis Pupinis,,,
Xingang,China,Asia,,Pronatura,Gonzalo Garcia,,,
Yantian,China,Asia,,S-FIRMA,Karolis Pupinis,,,
Yokohama,Japan,Asia,,Europaper,VIPA ITALY,,,
Zagreb,Croatia,Asia,,Recicla Costa Rica,Gonzalo Garcia,,,
Zgierz,Poland,Europe,,Kipas,VIPA GREECE,,,
Zhapu,China,Asia,,Evergreen SK,Karolis Pupinis,,,
Zhidachev,Ukraine,Europe,,USLUGI,Łukasz Lutoborski,,,
Zhidachev,Ukraine,Europe,,Ecogas Aruba,Nikolay Kudryashov,,,
Zhongshan,China,Europe,,Best Paper Mills,VIPA INDIA,,,
Zilina,Slovakia,Asia,,CARPA,VIPA ROTTERDAM,,,
Zielona Gora,Poland,Europe,,KT Investment,VIPA GREECE,,,
Copenhagen,Denmark,Europe,,Lastik,Karolis Pupinis,,,
Barszczówka,Poland,Europe,,Green VI,VIPA GREECE,,,
Karlstadt,Germany,Europe,,Hydro Aluminium,Chris Pineau,,,
Siauliai,Lithuania,Europe,,MAD CZ,Karolis Pupinis,,,
Daugavpils,Latvia,Europe,,CPG Chicago,VIPA USA,,,
Orebro,Sweden,Europe,,SURYAANS P,VIPA INDIA,,,
Cluj,Romania,Europe,,MALUPAPER,VIPA INDIA,,,
Brigadiru,Romania,Europe,,Llorens,VIPA ROTTERDAM,,,
San Juan Opico,El Salvador,Europe,,MAREN MARA,VIPA GREECE,,,
New York,United States,Latam,,SRIPATHI 1,VIPA INDIA,,,
Bydgoszcz,Poland,USA,,Rua Papel,VIPA ROTTERDAM,,,
Antsla,Estonia,Europe,,Remond,VIPA SWITZERLAND,,,
Chentelham,UK,Europe,,Carl F AB,Karolis Pupinis,,,
Bilcza,Poland,Europe,,Grupa Tom,Karolis Pupinis,,,
Kavlinge,Sweden,Europe,,Veolia,Karolis Pupinis,,,
Karlstad,Sweden,Europe,,Poninka,Ivan Dotsenko,,,
Paterek,Poland,Europe,,Nikita,Ivan Dotsenko,,,
St. Albans,UK,Europe,,Izmail,Ivan Dotsenko,,,
Corby,UK,Europe,,AN BINH PA,VIPA GREECE,,,
Southampton,UK,Europe,,Remondis Germany,VIPA SWITZERLAND,,,
Luton,UK,Europe,,CDIF,VIPA ROTTERDAM,,,
Blackburn,UK,Europe,,"TOUHOU BUSSAN AND CO., LTD",VIPA GREECE,,,
Birmingham,UK,Europe,,Garg Duplex,VIPA GREECE,,,
Enderby,UK,Europe,,Clean World,Global Trading,,,
Milton Keyness,UK,Europe,,Generation Recycling,Juan Quintero,,,
Tamworth,UK,Europe,,JAATMETE,Edward Berjoza,,,
Lubin,Poland,Europe,,Renewi,VIPA ROTTERDAM,,,
Neuss,Germany,Europe,,SRIPATHI,VIPA INDIA,,,
Gernsbach,Germany,Europe,,Lutsk,Ivan Dotsenko,,,
Gioia Tauro,Italy,Europe,,WEST COAST WASTE,Gonzalo Garcia,,,
Palermo,Italy,Europe,,Tomakovka,Ivan Dotsenko,,,
Catania,Italy,Europe,,"
ASIA HONOU",VIPA GREECE,,,
Ravenna,Italy,Europe,,VIRGINIJUS,Karolis Pupinis,,,
Charlton,UK,Europe,,HAMBURGER RO,VIPA GREECE,,,
Erith,UK,Europe,,PAPER AND BOARD,VIPA GREECE,,,
Romsey,UK,Europe,,Dilar,Global Trading,,,
Norwich,UK,Europe,,SIDDHEINDU,VIPA INDIA,,,
Potters Bar,UK,Europe,,PSM,Karolis Pupinis,,,
Leicester,UK,Europe,,NRAGARWAL,VIPA INDIA,,,
Luton,UK,Europe,,GALAXY PAP,VIPA INDIA,,,
Halifax,UK,Europe,,"COMERCIALIZADORA DE CARTON Y PAPEL, S.A.",Juan Quintero,,,
Stafford,UK,Europe,,Recuperadora de Carton T&M; S.A. de C.V.,Juan Quintero,,,
Tampere,Finland,Europe,,ASUNCORP,Gonzalo Garcia,,,
Kalna,Estonia,Europe,,Pulp Mill,Global Trading,,,
Kiiu,Estonia,Europe,,GTown,VIPA USA,,,
Parnu,Estonia,Europe,,ELVALHALCOR,VIPA GREECE,,,
Margonin,Poland,Europe,,EcoTech Aruba,Nikolay Kudryashov,,,
Jonkoping,Sweden,Europe,,Papeles de Cauca,Gonzalo Garcia,,,
Hogdalen,Sweden,Europe,,Colombiana Moldeados,Gonzalo Garcia,,,
Cere,Latvia,Europe,,ASHOKA PUL,VIPA INDIA,,,
Astorp,Sweden,Europe,,PANASA COLOMBIA,Gonzalo Garcia,,,
Collodi,Italy,Europe,,Essity Mexico,Gonzalo Garcia,,,
Viinikkala,Finland,Europe,,BOJ,VIPA ROTTERDAM,,,
Diemelstadt,Germany,Europe,,Apropet SAS,Gonzalo Garcia,,,
Gernsbach,Germany,Europe,,Guamolsa,Juan Quintero,,,
Herzberg am Harz,Germany,Europe,,KERTAS PAP,VIPA GREECE,,,
Yangon,Burma,Europe,,Disoni,Łukasz Lutoborski,,,
Tilawa,Burma,Asia,,ReComSur N.V.,Nikolay Kudryashov,,,
Jacksonville,USA,Asia,,Weerec,Edward Berjoza,,,
Kalundborg,Denmark,USA,,Kartotec,Nikolay Kudryashov,,,
Krakow,Poland,Europe,,Ocean Bridge Polymers,Juan Quintero,,,
Zwolen,Poland,Europe,,Jersey,VIPA USA,,,
Grojec,Poland,Europe,,Smurfit Kappa CR,Gonzalo Garcia,,,
Wyszkow,Poland,Europe,,Haiti Recycling,Nikolay Kudryashov,,,
Seja,Latvia,Europe,,Ecofibras de Nicaragua,Juan Quintero,,,
Czerwonak,Poland,Europe,,Xuan Mai,VIPA GREECE,,,
Wschowa,Poland,Europe,,KUZMICHEVA,Ivan Dotsenko,,,
CZĘSTOCHOWA,Poland,Europe,,TYP,VIPA GREECE,,,
TRZEBIEŃCZYCE,Poland,Europe,,BULLEH,VIPA GREECE,,,
Rzeszow,Poland,Europe,,BIO PAPEL MEXICO,Gonzalo Garcia,,,
SOSNOWIEC,Poland,Europe,,EMPAQUES INDUSTRIALES COLOMBIA,Gonzalo Garcia,,,
Barszczowka,Poland,Europe,,Denise Transport Logistics,Juan Quintero,,,
Ostrava,Czech Republic,Europe,,SAIGON,VIPA GREECE,,,
Saint-Ghislain,Belgium,Europe,,MM Paper,VIPA GREECE,,,
Gullegem,Belgium,Europe,,Recipa,Juan Quintero,,,
Poznan,Poland,Europe,,UNITED PENNSYLVANIA,VIPA USA,,,
Vasteras,Sweden,Europe,,Copelme,Juan Quintero,,,
Kolkata,India,Europe,,CHINA NATIONAL CHEMICAL FIBER CORPORATION,VIPA GREECE,,,
Elimaki,Finland,Asia,,Ankustan,VIPA GREECE,,,
Jamsankoski,Finland,Europe,,Exprorep SA,Gonzalo Garcia,,,
Belchatow,Poland,Europe,,El Trebol,Juan Quintero,,,
Tomaszow Lubelski,Poland,Europe,,Reciclados Industriales S.A.,Gonzalo Garcia,,,
Bramki,Poland,Europe,,Recupac Chile,Gonzalo Garcia,,,
Terespol,Poland,Europe,,Carvajal Colombia,Gonzalo Garcia,,,
Schongau,Germany,Europe,,Chadha,VIPA INDIA,,,
Vaesteras,Sweden,Europe,,RADHESHYAM,VIPA INDIA,,,
Mayen,Germany,Europe,,Repapel Brazil,Walter Araujo,,,
Buenaventura,Colombia,Europe,,ECOFIBRAS S.A. DE C.V. (Smurfit Kappa SV),Juan Quintero,,,
Grigiskes,Lithuania,Latam,,Grupasa,Gonzalo Garcia,,,
Qingdao,China,Europe,,Emerald,VIPA USA,,,
Odense,Denmark,Asia,,Federal,VIPA USA,,,
Herning,Denmark,Europe,,Canaan Recycling,VIPA USA,,,
Horsens,Denmark,Europe,,Irish Pack,VIPA UK,,,
Esbjerg,Denmark,Europe,,Ricova,VIPA UK,,,
Mayen,Germany,Europe,,Butler,VIPA UK,,,
Mulheim,Germany,Europe,,Global Waste Commodities UK,VIPA UK,,,
Trzydnik Duży,Poland,Europe,,Edwards Recycling UK,VIPA UK,,,
Austell,USA,Europe,,AP-CONCEPT,VIPA SWITZERLAND,,,
UNDEFINED,UNDEFINED,USA,,Astrocarton Honduras,Juan Quintero,,,
N/A,N/A,Undefined,,"RECICLAJES, S.A. DE C.V. (Metalenvases)",Juan Quintero,,,
Ekaterinburg,Russia,,,EAST AFRICA,VIPA GREECE,,,
Madrid,Spain,Russia,,LEE-HSING,VIPA GREECE,,,
Bristol,UK,Europe,,ECUAPET,Gonzalo Garcia,,,
Brava,Czech Republic,Europe,,LATAM RECYCLING,Gonzalo Garcia,,,
Zimrovice,Czech Republic,Europe,,Wepa Nederland,VIPA ROTTERDAM,,,
Zeebrugge,Belgium,Europe,,Ekovilla,Karolis Pupinis,,,
Kamienec,Poland,Europe,,Schulte Trebsen,VIPA SWITZERLAND,,,
Uikala,Estonia,Europe,,WORLD FAIR,VIPA GREECE,,,
Miami,USA,Europe,,Federssen,VIPA SWITZERLAND,,,
Narva,Estonia,USA,,Rhenus Germany,VIPA SWITZERLAND,,,
Johvi,Estonia,Europe,,Angelius West,VIPA USA,,,
Baltimore,USA,Europe,,Green Plan,VIPA USA,,,
Trollhatan,Sweden,USA,,California,VIPA USA,,,
Alexandria,Egypt,Europe,,Resonance,VIPA INDIA,,,
Damietta,Egypt,Asia,,Essity Russia,Global Trading,,,
Mullhouse,France,Asia,,ЭПИК,Global Trading,,,
Dabrowa Gornice,Poland,Europe,,БФ Коммунар,Global Trading,,,
Peterborough,UK,Europe,,RVP,Global Trading,,,
Torun,Poland,Europe,,"ООО ""Крафт""",Global Trading,,,
Avonmouth,UK,Europe,,ИП Скворцов,Global Trading,,,
Vetlanda,Sweden,Europe,,Чистый Белый Край,Global Trading,,,
San Juan PR,Puerto Rico,Europe,,ИП Диленян,Global Trading,,,
Portbury,UK,Latam,,Железный Мир,Global Trading,,,
Bialystok,Poland,Europe,,Экопром Пенза,Global Trading,,,
Constanta,Romania,Europe,,Вторая Жизнь Материалов,Global Trading,,,
Altamira,Mexico,Europe,,AP-CONCEPT NL,Nikolay Kudryashov,,,
Piatra Neamt,Romania,Latam,,GEROY TRUD,Edward Berjoza,,,
Izmir,Turkey,Europe,,SIMKA KAGI,VIPA GREECE,,,
Arica,Chile,Europe,,RADHESHYAM,VIPA INDIA,,,
Mathi Canavese,Italy,Latam,,ELTEX REC,VIPA GREECE,,,
Vladivostok,Russia,Europe,,Binjusaria,VIPA INDIA,,,
Naberezhnye Chelny,Russia,Russia,,Tempo Global Resources,VIPA USA,,,
Kazan,Russia,Russia,,Classic Fibers International,VIPA USA,,,
Izhevsk,Russia,Russia,,Victor Recycling,VIPA USA,,,
Ufa,Russia,Russia,,Recology,VIPA USA,,,
Perm,Russia,Russia,,New Era Export and Logistics,VIPA USA,,,
Montcada,Spain,Russia,,Mid Valley Disposal,VIPA USA,,,
Kings Hills,UK,Europe,,South Bay,VIPA USA,,,
Radom,Poland,Europe,,Alpha USA,VIPA USA,,,
Illzach,France,Europe,,KLAUSSENBURG,VIPA GREECE,,,
Dnipro,Ukraine,Europe,,Metsa Tissue Poland,Karolis Pupinis,,,
Karczew,Poland,Europe,,REMATHOLDING,VIPA GREECE,,,
Kiev,Ukraine,Europe,,PAPELERA DEL SUR,Gonzalo Garcia,,,
Kaysersberg,France,Europe,,Metalking Ecuador,Gonzalo Garcia,,,
Staphorst,Holland,Europe,,Aqui Te Lo Compro,Christopher Hans,,,
Skaidiškės,Lithuania,Europe,,Essity SE,Karolis Pupinis,,,
Zarzecze,Poland,Europe,,LAMINATES,VIPA GREECE,,,
Kiev,Ukraine,Europe,,Poliplas Chile,Gonzalo Garcia,,,
Kehl,Germany,Europe,,Sonoco Colombia,Gonzalo Garcia,,,
Tyumen,Russia,Europe,,PACOS,VIPA GREECE,,,
Walddorfhäslach,Germany,Russia,,Schumacher,VIPA ROTTERDAM,,,
Rakvere,Estonia,Europe,,SC RDE HAR,VIPA GREECE,,,
Tammiku,Estonia,Europe,,Dismetales S.A.,Gonzalo Garcia,,,
Viljandi,Estonia,Europe,,SEM ECOPACK,VIPA USA,,,
Tartu,Estonia,Europe,,AMERICAN M,VIPA USA,,,
Parnu,Estonia,Europe,,MASLO,VIPA USA,,,
Daibe,Latvia,Europe,,CPR-Calgar,VIPA USA,,,
Kandava,Latvia,Europe,,RMR ATLANT,VIPA USA,,,
,France,Europe,,CANUSA,VIPA USA,,,
Izmir,Turkey,Europe,,RMR Richmond,VIPA USA,,,
Rapina,Estonia,Europe,,ALLAN CO,VIPA USA,,,
Morales,Guatemala,Europe,,PLASTICOS DEL PACIFICO,Gonzalo Garcia,,,
Panama,Panama,Latam,,Next Generation,Juan Quintero,,,
Monthiciari,Italy,Latam,,Nuno Hernandex MX,Christopher Hans,,,
Choloma,Honduras,Europe,,ERC,Edward Berjoza,,,
Morales,Guatemala,Latam,,Production,Ivan Dotsenko,,,
Balboa,Panama,Latam,,FABRYKA PA,Karolis Pupinis,,,
Rodman,Panama,Latam,,CONSTELLIUM METAL PROCUREMENT LLC,Chris Pineau,,,
Cristobal,Panama,Latam,,Austrian Recycling,Karolis Pupinis,,,
Puerto Quetzal,Guatemala,Latam,,BumBack,Global Trading,,,
Caldera,Costa Rica,Latam,,Smurfit BR,Walter Araujo,,,
Vung Tao,Vietnam,Latam,,M&C ECO PAPER,VIPA GREECE,,,
Chennai,India,Asia,,Solupaper Peru,Nikolay Kudryashov,,,
Point Lisas,Trinidad and Tobago,Asia,,CR&R INC,VIPA USA,,,
Okulovka,Russia,Latam,,MARBORG IND,VIPA USA,,,
Port of Spain,Trinidad and Tobago,Russia,,COMCON,VIPA USA,,,
Guatemala City,Guatemala,Asia,,N&V,VIPA USA,,,
Sula,Honduras,Latam,,Gyemant SRL,VIPA GREECE,,,
Borisov,Belarus,Latam,,JANPAS,Łukasz Lutoborski,,,
San Pedro Sula,Honduras,Europe,,TUAN TAI,VIPA GREECE,,,
Gergzdeliai,Lithuania,Latam,,Ecofibras Ponderosa,Christopher Hans,,,
Maliye Kolpany,Russia,Europe,,Alyansgroup,Sergey Logunov,,,
Purmerend,Holland,Russia,,ADAMI S/A,Walter Araujo,,,
Marijampole,Lithuania,Europe,,Kimberly Clark MX,Christopher Hans,,,
Gorzow Wielkopolski,Poland,Europe,,NEGEV ECOLOGY AGRICULTURAL COOPERATIVE SOCIETY LTD,VIPA GREECE,,,
Bytom,Poland,Europe,,KHOI NGYUEN,VIPA GREECE,,,
Trakai,Lithuania,Europe,,SCP AB,Karolis Pupinis,,,
Muscle Shoals,USA,Europe,,Langmuhl,VIPA SWITZERLAND,,,
Willemstad,Curacao,USA,,Novak Paper,Karolis Pupinis,,,
Tczew,Poland,Latam,,INDUSTRIA DE EMBALAGENS TOCANTINS LTDA,Walter Araujo,,,
Miekinia,Poland,Europe,,I&M PAPEIS E EMBALAGENS,Walter Araujo,,,
Daugavpils,Latvia,Europe,,PAXPORT IMPORTACAO,Walter Araujo,,,
Tunis City,Tunis,Europe,,PADMAVATI,VIPA INDIA,,,
Los Angeles,USA,Asia,,AVANGARD INNOVATIVE LP,VIPA USA,,,
Suwalki,Poland,USA,,Huhtamaki,VIPA ROTTERDAM,,,
Pardubice,Czech Republic,Europe,,JAEPEL PAPEIS,Walter Araujo,,,
Plock,Poland,Europe,,CAPITAL PA,VIPA USA,,,
Varel,Germany,Europe,,CANAAN REC,VIPA USA,,,
Pardubice,Czech Republic,Europe,,WPS,VIPA USA,,,
Schwedt,Germany,Europe,,LEE YANG PAPER,VIPA GREECE,,,
Alexandria,Egypt,Europe,,BIOPAPPEL SCRIBE,Christopher Hans,,,
Kiev,Ukraine,Asia,,Helmut,VIPA SWITZERLAND,,,
Oakland,USA,Europe,,SERVICIOS INTEGRALES,Christopher Hans,,,
GERGZDELIAI,Lithuania,USA,,GRUPO PAPER GREEN,Christopher Hans,,,
Dormagen,Germany,Europe,,PRODUCTORA DE PAPEL,Christopher Hans,,,
Wola Lask,Poland,Europe,,VINA KRAFT,VIPA GREECE,,,
Falun,Sweden,Europe,,DS Smith,VIPA UK,,,
Dobrush,Belarus,Europe,,CARTONIFICIO VALINHOS,Walter Araujo,,,
Lagos,Nigeria,Europe,,Selenga,Sergey Logunov,,,
Smolevichi,Belarus,Asia,,Incarpalm,VIPA GREECE,,,
Chashniki,Belarus,Europe,,NOVA Packaging,VIPA GREECE,,,
Prague,Czech Republic,Europe,,EL BADDAR,VIPA GREECE,,,
Trencin,Slovakia,Europe,,Giant,VIPA GREECE,,,
Bratislava,Slovakia,Europe,,VIRAJ PROFILES,VIPA INDIA,,,
Wohyn,Poland,Europe,,CANAAN REC,VIPA USA,,,
Tychy,Poland,Europe,,BESTWAY REC,VIPA USA,,,
Pezinok,Slovakia,Europe,,SANOVO GREENPAC,Walter Araujo,,,
Hlohovec,Slovakia,Europe,,SIA CLEAN R,Edward Berjoza,,,
Sebedrazie,Slovakia,Europe,,CLC Vietnam,VIPA GREECE,,,
Zvolen,Slovakia,Europe,,Diyan Papers,VIPA INDIA,,,
Kosice,Slovakia,Europe,,CONPEL CIA,Walter Araujo,,,
Santa Marta,Colombia,Europe,,CCH,VIPA GREECE,,,
Apapa,Nigeria,Latam,,Victory Far East,VIPA GREECE,,,
Alger,Algeria,Asia,,TRUPAL S.A.,VIPA GREECE,,,
Glostrup,Denmark,Asia,,Absormex,Christopher Hans,,,
Brondby,Denmark,Europe,,Seed Pack,Gonzalo Garcia,,,
Borlange,Sweden,Europe,,Grigeo LV,Karolis Pupinis,,,
Izmir,Turkey,Europe,,ELITE KRAFT,ELITE KRAFT,,,
Houston,USA,Europe,,CAPITAL PA,VIPA USA,,,
Norfolk,USA,USA,,VIPA USA,VIPA USA,,,
Slonim,Belarus,USA,,"SUMEC INTERNATIONAL TECHNOLOGY CO., LTD.",VIPA GREECE,,,
Long Beach,USA,Europe,,NEUHAUS,NEUHAUS,,,
Valencia,Spain,USA,,Stoelman Recycling,Stoelman Recycling,,,
Rio Haina,Dominican Republic,Europe,,JULIUS,VIPA GREECE,,,
Solec Kujawski,Poland,Latam,,WERROWOOL,Edward Berjoza,,,
Harcourt,Nigeria,Europe,,AMNIR,VIPA GREECE,,,
Boras,Sweden,Asia,,Eagle Trans,Ivan Dotsenko,,,
Acajutla,El Salvador,Europe,,4TH GENERA,Juan Quintero,,,
Puerto Barrios,Guatemala,Latam,,GLOBAL BUSINESS,Juan Quintero,,,
Posorja,Ecuador,Latam,,CHISINAU,Ivan Dotsenko,,,
Harmanec,Slovakia,Asia,,RECI-CARPLASTIC,Juan Quintero,,,
Czeladz,Poland,Europe,,EVR Krasnodar,Global Trading,,,
Starachowice,Poland,Europe,,"VINA KRAFT PAPER CO., LTD",VIPA GREECE,,,
Aelvdalen,Sweden,Europe,,VERONICA,Christopher Hans,,,
Zhitomir,Ukraine,Europe,,KHOI KGYUEN,VIPA GREECE,,,
Chelm,Poland,Europe,,RECIMETAL,Juan Quintero,,,
Kaysersberg,France,Europe,,SYNDICATE,VIPA SWITZERLAND,,,
Zambrow,Poland,Europe,,PAPELES Y METALES PANAMA,Juan Quintero,,,
Zhytomyr,Ukraine,Europe,,UNITED-PA,VIPA USA,,,
Trnava,Slovakia,Europe,,MacSistem,Global Trading,,,
Otley,UK,Europe,,UNIBOARD,VIPA GREECE,,,
Belfast,UK,Europe,,CHERKASSYVT,Ivan Dotsenko,,,
Roosendaal,Holland,Europe,,Kruschitz,VIPA GREECE,,,
Kingston,Jamaica,Europe,,Artgroopp (EKB),Global Trading,,,
Brno,Czech Republic,Latam,,Aktion plus,Global Trading,,,
Tonder,Denmark,Europe,,BIOCHEN,Gonzalo Garcia,,,
Pipavav,India,Europe,,MOLPASA,Gonzalo Garcia,,,
ICD Dadri,India,Asia,,INTERFISA,Juan Quintero,,,
Puerto Caldera,Costa Rica,Asia,,GREEN LOGIX,Juan Quintero,,,
Puerto Moin,Costa Rica,Latam,,ATLANTI METALES,Gonzalo Garcia,,,
Shklov,Belarus,Latam,,IMICAR,VIPA GREECE,,,
Corinto,Nicaragua,Europe,,Finplast,Ivan Dotsenko,,,
Tomakovka,Ukraine,Asia,,IMAC ALLOY,Chris Pineau,,,
Cochin,India,Europe,,Suga,Christopher Hans,,,
Ladna,Poland,Asia,,Papir-Mal,Ivan Dotsenko,,,
Grzybow,Poland,Europe,,SEPPA PRAHA S.R.O,Karolis Pupinis,,,
Glogow,Poland,Europe,,Centro Grafico SRL,VIPA GREECE,,,
